,tid,offence,label_dk,Anmeldte forbrydelser,population
0,2008K1,Seksualforbrydelser i alt,København,41,509861
1,2008K1,Voldsforbrydelser i alt,København,549,509861
2,2008K1,Ejendomsforbrydelser i alt,København,16536,509861
3,2008K1,Andre straffelovsforbrydelser i alt,København,349,509861
4,2008K1,Særlove i alt,København,4148,509861
5,2008K2,Seksualforbrydelser i alt,København,59,511725
6,2008K2,Voldsforbrydelser i alt,København,545,511725
7,2008K2,Ejendomsforbrydelser i alt,København,18155,511725
8,2008K2,Andre straffelovsforbrydelser i alt,København,308,511725
9,2008K2,Særlove i alt,København,4134,511725
10,2008K3,Seksualforbrydelser i alt,København,52,511686
11,2008K3,Voldsforbrydelser i alt,København,554,511686
12,2008K3,Ejendomsforbrydelser i alt,København,20177,511686
13,2008K3,Andre straffelovsforbrydelser i alt,København,330,511686
14,2008K3,Særlove i alt,København,4235,511686
15,2008K4,Seksualforbrydelser i alt,København,55,516962
16,2008K4,Voldsforbrydelser i alt,København,496,516962
17,2008K4,Ejendomsforbrydelser i alt,København,20111,516962
18,2008K4,Andre straffelovsforbrydelser i alt,København,280,516962
19,2008K4,Særlove i alt,København,3987,516962
20,2009K1,Seksualforbrydelser i alt,København,38,518574
21,2009K1,Voldsforbrydelser i alt,København,554,518574
22,2009K1,Ejendomsforbrydelser i alt,København,17563,518574
23,2009K1,Andre straffelovsforbrydelser i alt,København,313,518574
24,2009K1,Særlove i alt,København,3817,518574
25,2009K2,Seksualforbrydelser i alt,København,48,520659
26,2009K2,Voldsforbrydelser i alt,København,584,520659
27,2009K2,Ejendomsforbrydelser i alt,København,18322,520659
28,2009K2,Andre straffelovsforbrydelser i alt,København,256,520659
29,2009K2,Særlove i alt,København,3818,520659
30,2009K3,Seksualforbrydelser i alt,København,45,521397
31,2009K3,Voldsforbrydelser i alt,København,588,521397
32,2009K3,Ejendomsforbrydelser i alt,København,22092,521397
33,2009K3,Andre straffelovsforbrydelser i alt,København,282,521397
34,2009K3,Særlove i alt,København,3376,521397
35,2009K4,Seksualforbrydelser i alt,København,28,526918
36,2009K4,Voldsforbrydelser i alt,København,521,526918
37,2009K4,Ejendomsforbrydelser i alt,København,20961,526918
38,2009K4,Andre straffelovsforbrydelser i alt,København,227,526918
